province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity,carCommentVolum,newsReplyVolum
山东,370000,17bc272c93f19d56,MPV,2016,1,5481,11802,0,0
山西,140000,17bc272c93f19d56,MPV,2016,1,2166,5520,0,0
广东,440000,17bc272c93f19d56,MPV,2016,1,2118,14106,0,0
广西,450000,17bc272c93f19d56,MPV,2016,1,4779,5444,0,0
江苏,320000,17bc272c93f19d56,MPV,2016,1,2358,9156,0,0
江西,360000,17bc272c93f19d56,MPV,2016,1,1882,3102,0,0
河北,130000,17bc272c93f19d56,MPV,2016,1,4112,10812,0,0
河南,410000,17bc272c93f19d56,MPV,2016,1,7051,19036,0,0
浙江,330000,17bc272c93f19d56,MPV,2016,1,1411,7690,0,0
湖北,420000,17bc272c93f19d56,MPV,2016,1,1923,4759,0,0
湖南,430000,17bc272c93f19d56,MPV,2016,1,2637,5196,0,0
福建,350000,17bc272c93f19d56,MPV,2016,1,670,2703,0,0
辽宁,210000,17bc272c93f19d56,MPV,2016,1,1203,3388,0,0
重庆,500000,17bc272c93f19d56,MPV,2016,1,370,1541,0,0
陕西,610000,17bc272c93f19d56,MPV,2016,1,2683,5882,0,0
黑龙江,230000,17bc272c93f19d56,MPV,2016,1,721,2569,0,0
上海,310000,2a2ab41f8f6ff1cb,SUV,2016,1,431,1320,29,3278
云南,530000,2a2ab41f8f6ff1cb,SUV,2016,1,248,755,29,3278
内蒙古,150000,2a2ab41f8f6ff1cb,SUV,2016,1,939,1243,29,3278
北京,110000,2a2ab41f8f6ff1cb,SUV,2016,1,458,1904,29,3278
四川,510000,2a2ab41f8f6ff1cb,SUV,2016,1,1221,3683,29,3278
安徽,340000,2a2ab41f8f6ff1cb,SUV,2016,1,1440,1999,29,3278
山东,370000,2a2ab41f8f6ff1cb,SUV,2016,1,1657,4276,29,3278
山西,140000,2a2ab41f8f6ff1cb,SUV,2016,1,639,1454,29,3278
广东,440000,2a2ab41f8f6ff1cb,SUV,2016,1,6442,9568,29,3278
广西,450000,2a2ab41f8f6ff1cb,SUV,2016,1,719,1119,29,3278
江苏,320000,2a2ab41f8f6ff1cb,SUV,2016,1,2063,4257,29,3278
江西,360000,2a2ab41f8f6ff1cb,SUV,2016,1,1070,1387,29,3278
河北,130000,2a2ab41f8f6ff1cb,SUV,2016,1,1775,4276,29,3278
河南,410000,2a2ab41f8f6ff1cb,SUV,2016,1,2481,5788,29,3278
浙江,330000,2a2ab41f8f6ff1cb,SUV,2016,1,1156,2659,29,3278
湖北,420000,2a2ab41f8f6ff1cb,SUV,2016,1,1769,2506,29,3278
湖南,430000,2a2ab41f8f6ff1cb,SUV,2016,1,1843,2392,29,3278
福建,350000,2a2ab41f8f6ff1cb,SUV,2016,1,356,956,29,3278
辽宁,210000,2a2ab41f8f6ff1cb,SUV,2016,1,299,755,29,3278
重庆,500000,2a2ab41f8f6ff1cb,SUV,2016,1,771,1291,29,3278
陕西,610000,2a2ab41f8f6ff1cb,SUV,2016,1,524,1320,29,3278
黑龙江,230000,2a2ab41f8f6ff1cb,SUV,2016,1,605,1100,29,3278
上海,310000,c06a2a387c0ee510,MPV,2016,1,1178,1117,2,1508
云南,530000,c06a2a387c0ee510,MPV,2016,1,77,418,2,1508
内蒙古,150000,c06a2a387c0ee510,MPV,2016,1,67,381,2,1508
北京,110000,c06a2a387c0ee510,MPV,2016,1,1071,1524,2,1508
四川,510000,c06a2a387c0ee510,MPV,2016,1,156,1133,2,1508
安徽,340000,c06a2a387c0ee510,MPV,2016,1,149,502,2,1508
山东,370000,c06a2a387c0ee510,MPV,2016,1,635,1953,2,1508
山西,140000,c06a2a387c0ee510,MPV,2016,1,133,589,2,1508
广东,440000,c06a2a387c0ee510,MPV,2016,1,585,1985,2,1508
广西,450000,c06a2a387c0ee510,MPV,2016,1,58,299,2,1508
江苏,320000,c06a2a387c0ee510,MPV,2016,1,739,1647,2,1508
江西,360000,c06a2a387c0ee510,MPV,2016,1,91,305,2,1508
河北,130000,c06a2a387c0ee510,MPV,2016,1,250,1286,2,1508
河南,410000,c06a2a387c0ee510,MPV,2016,1,383,1713,2,1508
浙江,330000,c06a2a387c0ee510,MPV,2016,1,395,1209,2,1508
湖北,420000,c06a2a387c0ee510,MPV,2016,1,109,528,2,1508
湖南,430000,c06a2a387c0ee510,MPV,2016,1,80,416,2,1508
福建,350000,c06a2a387c0ee510,MPV,2016,1,77,410,2,1508
辽宁,210000,c06a2a387c0ee510,MPV,2016,1,160,669,2,1508
重庆,500000,c06a2a387c0ee510,MPV,2016,1,81,299,2,1508
陕西,610000,c06a2a387c0ee510,MPV,2016,1,175,607,2,1508
黑龙江,230000,c06a2a387c0ee510,MPV,2016,1,108,575,2,1508
上海,310000,7023efdab9cedc03,Sedan,2016,1,992,2658,12,54
云南,530000,7023efdab9cedc03,Sedan,2016,1,191,994,12,54
内蒙古,150000,7023efdab9cedc03,Sedan,2016,1,102,973,12,54
北京,110000,7023efdab9cedc03,Sedan,2016,1,210,2354,12,54
四川,510000,7023efdab9cedc03,Sedan,2016,1,429,3507,12,54
安徽,340000,7023efdab9cedc03,Sedan,2016,1,762,2472,12,54
山东,370000,7023efdab9cedc03,Sedan,2016,1,898,4806,12,54
山西,140000,7023efdab9cedc03,Sedan,2016,1,114,1180,12,54
广东,440000,7023efdab9cedc03,Sedan,2016,1,609,4122,12,54
广西,450000,7023efdab9cedc03,Sedan,2016,1,170,904,12,54
江苏,320000,7023efdab9cedc03,Sedan,2016,1,1906,6905,12,54
江西,360000,7023efdab9cedc03,Sedan,2016,1,344,1457,12,54
河北,130000,7023efdab9cedc03,Sedan,2016,1,279,2831,12,54
河南,410000,7023efdab9cedc03,Sedan,2016,1,558,4025,12,54
浙江,330000,7023efdab9cedc03,Sedan,2016,1,1566,4992,12,54
湖北,420000,7023efdab9cedc03,Sedan,2016,1,453,2071,12,54
湖南,430000,7023efdab9cedc03,Sedan,2016,1,459,1836,12,54
福建,350000,7023efdab9cedc03,Sedan,2016,1,237,1242,12,54
辽宁,210000,7023efdab9cedc03,Sedan,2016,1,158,1249,12,54
重庆,500000,7023efdab9cedc03,Sedan,2016,1,81,690,12,54
陕西,610000,7023efdab9cedc03,Sedan,2016,1,275,1608,12,54
黑龙江,230000,7023efdab9cedc03,Sedan,2016,1,38,1015,12,54
上海,310000,af6f4f548684e14d,SUV,2016,1,1572,3615,152,3963
云南,530000,af6f4f548684e14d,SUV,2016,1,612,1296,152,3963
内蒙古,150000,af6f4f548684e14d,SUV,2016,1,463,1120,152,3963
北京,110000,af6f4f548684e14d,SUV,2016,1,895,3499,152,3963
四川,510000,af6f4f548684e14d,SUV,2016,1,1417,4444,152,3963
安徽,340000,af6f4f548684e14d,SUV,2016,1,1219,2230,152,3963
山东,370000,af6f4f548684e14d,SUV,2016,1,2241,5494,152,3963
山西,140000,af6f4f548684e14d,SUV,2016,1,677,1686,152,3963
广东,440000,af6f4f548684e14d,SUV,2016,1,2250,5197,152,3963
广西,450000,af6f4f548684e14d,SUV,2016,1,594,1054,152,3963
江苏,320000,af6f4f548684e14d,SUV,2016,1,2192,5279,152,3963
江西,360000,af6f4f548684e14d,SUV,2016,1,1062,1609,152,3963
河北,130000,af6f4f548684e14d,SUV,2016,1,1028,3296,152,3963
河南,410000,af6f4f548684e14d,SUV,2016,1,1627,4697,152,3963
浙江,330000,af6f4f548684e14d,SUV,2016,1,1657,4054,152,3963
湖北,420000,af6f4f548684e14d,SUV,2016,1,1510,3170,152,3963
湖南,430000,af6f4f548684e14d,SUV,2016,1,1650,2730,152,3963
福建,350000,af6f4f548684e14d,SUV,2016,1,850,1686,152,3963
辽宁,210000,af6f4f548684e14d,SUV,2016,1,446,1263,152,3963
重庆,500000,af6f4f548684e14d,SUV,2016,1,540,1302,152,3963
陕西,610000,af6f4f548684e14d,SUV,2016,1,746,1703,152,3963
黑龙江,230000,af6f4f548684e14d,SUV,2016,1,266,1082,152,3963
上海,310000,7cf283430b3b5e38,Sedan,2016,1,1709,3212,270,3705
云南,530000,7cf283430b3b5e38,Sedan,2016,1,390,1076,270,3705
内蒙古,150000,7cf283430b3b5e38,Sedan,2016,1,558,1156,270,3705
北京,110000,7cf283430b3b5e38,Sedan,2016,1,334,2656,270,3705
四川,510000,7cf283430b3b5e38,Sedan,2016,1,1710,4395,270,3705
安徽,340000,7cf283430b3b5e38,Sedan,2016,1,2375,3459,270,3705
山东,370000,7cf283430b3b5e38,Sedan,2016,1,3723,7475,270,3705
山西,140000,7cf283430b3b5e38,Sedan,2016,1,646,1738,270,3705
广东,440000,7cf283430b3b5e38,Sedan,2016,1,1777,4986,270,3705
广西,450000,7cf283430b3b5e38,Sedan,2016,1,677,1147,270,3705
江苏,320000,7cf283430b3b5e38,Sedan,2016,1,4998,8826,270,3705
江西,360000,7cf283430b3b5e38,Sedan,2016,1,1261,1994,270,3705
河北,130000,7cf283430b3b5e38,Sedan,2016,1,1931,4492,270,3705
河南,410000,7cf283430b3b5e38,Sedan,2016,1,2603,6037,270,3705
浙江,330000,7cf283430b3b5e38,Sedan,2016,1,3101,5807,270,3705
湖北,420000,7cf283430b3b5e38,Sedan,2016,1,1782,2780,270,3705
湖南,430000,7cf283430b3b5e38,Sedan,2016,1,1687,2453,270,3705
福建,350000,7cf283430b3b5e38,Sedan,2016,1,893,1588,270,3705
辽宁,210000,7cf283430b3b5e38,Sedan,2016,1,589,1526,270,3705
重庆,500000,7cf283430b3b5e38,Sedan,2016,1,370,856,270,3705
陕西,610000,7cf283430b3b5e38,Sedan,2016,1,741,1985,270,3705
黑龙江,230000,7cf283430b3b5e38,Sedan,2016,1,299,1103,270,3705
上海,310000,d4efbebb087fd03f,Sedan,2016,1,204,5993,17,2313
云南,530000,d4efbebb087fd03f,Sedan,2016,1,184,2144,17,2313
内蒙古,150000,d4efbebb087fd03f,Sedan,2016,1,389,3679,17,2313
北京,110000,d4efbebb087fd03f,Sedan,2016,1,207,12937,17,2313
四川,510000,d4efbebb087fd03f,Sedan,2016,1,955,7869,17,2313
安徽,340000,d4efbebb087fd03f,Sedan,2016,1,792,7626,17,2313
山东,370000,d4efbebb087fd03f,Sedan,2016,1,1924,12840,17,2313
山西,140000,d4efbebb087fd03f,Sedan,2016,1,452,4653,17,2313
广东,440000,d4efbebb087fd03f,Sedan,2016,1,1224,24365,17,2313
广西,450000,d4efbebb087fd03f,Sedan,2016,1,498,3508,17,2313
江苏,320000,d4efbebb087fd03f,Sedan,2016,1,1062,15837,17,2313
江西,360000,d4efbebb087fd03f,Sedan,2016,1,1049,4410,17,2313
河北,130000,d4efbebb087fd03f,Sedan,2016,1,919,9843,17,2313
河南,410000,d4efbebb087fd03f,Sedan,2016,1,2130,19955,17,2313
浙江,330000,d4efbebb087fd03f,Sedan,2016,1,1779,15301,17,2313
湖北,420000,d4efbebb087fd03f,Sedan,2016,1,890,6066,17,2313
湖南,430000,d4efbebb087fd03f,Sedan,2016,1,1524,5043,17,2313
福建,350000,d4efbebb087fd03f,Sedan,2016,1,671,6383,17,2313
辽宁,210000,d4efbebb087fd03f,Sedan,2016,1,214,7845,17,2313
重庆,500000,d4efbebb087fd03f,Sedan,2016,1,378,2607,17,2313
陕西,610000,d4efbebb087fd03f,Sedan,2016,1,927,4556,17,2313
黑龙江,230000,d4efbebb087fd03f,Sedan,2016,1,193,2412,17,2313
上海,310000,7245e0ee27b195cd,Sedan,2016,1,78,257,96,1699
云南,530000,7245e0ee27b195cd,Sedan,2016,1,341,231,96,1699
内蒙古,150000,7245e0ee27b195cd,Sedan,2016,1,352,425,96,1699
北京,110000,7245e0ee27b195cd,Sedan,2016,1,235,589,96,1699
四川,510000,7245e0ee27b195cd,Sedan,2016,1,756,867,96,1699
安徽,340000,7245e0ee27b195cd,Sedan,2016,1,363,371,96,1699
山东,370000,7245e0ee27b195cd,Sedan,2016,1,1789,1727,96,1699
山西,140000,7245e0ee27b195cd,Sedan,2016,1,429,568,96,1699
广东,440000,7245e0ee27b195cd,Sedan,2016,1,641,1219,96,1699
广西,450000,7245e0ee27b195cd,Sedan,2016,1,285,262,96,1699
江苏,320000,7245e0ee27b195cd,Sedan,2016,1,444,653,96,1699
江西,360000,7245e0ee27b195cd,Sedan,2016,1,527,342,96,1699
河北,130000,7245e0ee27b195cd,Sedan,2016,1,1277,1440,96,1699
河南,410000,7245e0ee27b195cd,Sedan,2016,1,1463,1475,96,1699
浙江,330000,7245e0ee27b195cd,Sedan,2016,1,450,746,96,1699
湖北,420000,7245e0ee27b195cd,Sedan,2016,1,427,374,96,1699
湖南,430000,7245e0ee27b195cd,Sedan,2016,1,899,473,96,1699
福建,350000,7245e0ee27b195cd,Sedan,2016,1,201,281,96,1699
辽宁,210000,7245e0ee27b195cd,Sedan,2016,1,295,464,96,1699
重庆,500000,7245e0ee27b195cd,Sedan,2016,1,218,179,96,1699
陕西,610000,7245e0ee27b195cd,Sedan,2016,1,785,803,96,1699
黑龙江,230000,7245e0ee27b195cd,Sedan,2016,1,272,349,96,1699
上海,310000,8c915fe4632fb9fa,SUV,2016,1,320,1275,3,4429
云南,530000,8c915fe4632fb9fa,SUV,2016,1,785,970,3,4429
内蒙古,150000,8c915fe4632fb9fa,SUV,2016,1,363,691,3,4429
北京,110000,8c915fe4632fb9fa,SUV,2016,1,362,1618,3,4429
四川,510000,8c915fe4632fb9fa,SUV,2016,1,1794,2983,3,4429
安徽,340000,8c915fe4632fb9fa,SUV,2016,1,1233,1844,3,4429
山东,370000,8c915fe4632fb9fa,SUV,2016,1,1412,3234,3,4429
山西,140000,8c915fe4632fb9fa,SUV,2016,1,494,1318,3,4429
广东,440000,8c915fe4632fb9fa,SUV,2016,1,1574,3109,3,4429
广西,450000,8c915fe4632fb9fa,SUV,2016,1,527,576,3,4429
江苏,320000,8c915fe4632fb9fa,SUV,2016,1,1591,3152,3,4429
江西,360000,8c915fe4632fb9fa,SUV,2016,1,905,985,3,4429
河北,130000,8c915fe4632fb9fa,SUV,2016,1,1293,2507,3,4429
河南,410000,8c915fe4632fb9fa,SUV,2016,1,1515,3581,3,4429
浙江,330000,8c915fe4632fb9fa,SUV,2016,1,1861,2729,3,4429
湖北,420000,8c915fe4632fb9fa,SUV,2016,1,1123,1683,3,4429
湖南,430000,8c915fe4632fb9fa,SUV,2016,1,1080,1235,3,4429
福建,350000,8c915fe4632fb9fa,SUV,2016,1,489,909,3,4429
辽宁,210000,8c915fe4632fb9fa,SUV,2016,1,351,845,3,4429
重庆,500000,8c915fe4632fb9fa,SUV,2016,1,459,666,3,4429
陕西,610000,8c915fe4632fb9fa,SUV,2016,1,709,1310,3,4429
黑龙江,230000,8c915fe4632fb9fa,SUV,2016,1,587,1146,3,4429
上海,310000,6155b214590c66e6,SUV,2016,1,871,4905,12,3219
云南,530000,6155b214590c66e6,SUV,2016,1,1704,3584,12,3219
内蒙古,150000,6155b214590c66e6,SUV,2016,1,744,2773,12,3219
北京,110000,6155b214590c66e6,SUV,2016,1,963,6383,12,3219
四川,510000,6155b214590c66e6,SUV,2016,1,3386,9483,12,3219
安徽,340000,6155b214590c66e6,SUV,2016,1,2327,5166,12,3219
山东,370000,6155b214590c66e6,SUV,2016,1,3259,10660,12,3219
山西,140000,6155b214590c66e6,SUV,2016,1,885,3871,12,3219
广东,440000,6155b214590c66e6,SUV,2016,1,3438,11720,12,3219
广西,450000,6155b214590c66e6,SUV,2016,1,898,2289,12,3219
江苏,320000,6155b214590c66e6,SUV,2016,1,3796,11380,12,3219
江西,360000,6155b214590c66e6,SUV,2016,1,1595,2982,12,3219
河北,130000,6155b214590c66e6,SUV,2016,1,2546,7848,12,3219
河南,410000,6155b214590c66e6,SUV,2016,1,4567,13080,12,3219
浙江,330000,6155b214590c66e6,SUV,2016,1,3658,9470,12,3219
湖北,420000,6155b214590c66e6,SUV,2016,1,2416,5507,12,3219
湖南,430000,6155b214590c66e6,SUV,2016,1,2539,4316,12,3219
福建,350000,6155b214590c66e6,SUV,2016,1,820,3100,12,3219
辽宁,210000,6155b214590c66e6,SUV,2016,1,967,3584,12,3219
重庆,500000,6155b214590c66e6,SUV,2016,1,1093,2236,12,3219
陕西,610000,6155b214590c66e6,SUV,2016,1,1187,3832,12,3219
黑龙江,230000,6155b214590c66e6,SUV,2016,1,797,3283,12,3219
上海,310000,28e29f2c03dcd84c,Sedan,2016,1,1357,630,6,10690
云南,530000,28e29f2c03dcd84c,Sedan,2016,1,572,494,6,10690
内蒙古,150000,28e29f2c03dcd84c,Sedan,2016,1,624,332,6,10690
北京,110000,28e29f2c03dcd84c,Sedan,2016,1,1794,729,6,10690
四川,510000,28e29f2c03dcd84c,Sedan,2016,1,933,1214,6,10690
安徽,340000,28e29f2c03dcd84c,Sedan,2016,1,1168,830,6,10690
山东,370000,28e29f2c03dcd84c,Sedan,2016,1,1944,1157,6,10690
山西,140000,28e29f2c03dcd84c,Sedan,2016,1,1214,452,6,10690
广东,440000,28e29f2c03dcd84c,Sedan,2016,1,542,1227,6,10690
广西,450000,28e29f2c03dcd84c,Sedan,2016,1,218,239,6,10690
江苏,320000,28e29f2c03dcd84c,Sedan,2016,1,2309,1575,6,10690
江西,360000,28e29f2c03dcd84c,Sedan,2016,1,722,338,6,10690
河北,130000,28e29f2c03dcd84c,Sedan,2016,1,1886,930,6,10690
河南,410000,28e29f2c03dcd84c,Sedan,2016,1,1577,1464,6,10690
浙江,330000,28e29f2c03dcd84c,Sedan,2016,1,1114,1154,6,10690
湖北,420000,28e29f2c03dcd84c,Sedan,2016,1,523,557,6,10690
湖南,430000,28e29f2c03dcd84c,Sedan,2016,1,747,534,6,10690
福建,350000,28e29f2c03dcd84c,Sedan,2016,1,584,411,6,10690
辽宁,210000,28e29f2c03dcd84c,Sedan,2016,1,263,277,6,10690
重庆,500000,28e29f2c03dcd84c,Sedan,2016,1,800,379,6,10690
陕西,610000,28e29f2c03dcd84c,Sedan,2016,1,789,532,6,10690
黑龙江,230000,28e29f2c03dcd84c,Sedan,2016,1,183,193,6,10690
上海,310000,37aa9169b575ef79,Sedan,2016,1,46,1342,90,1900
云南,530000,37aa9169b575ef79,Sedan,2016,1,1285,1193,90,1900
内蒙古,150000,37aa9169b575ef79,Sedan,2016,1,1314,1995,90,1900
北京,110000,37aa9169b575ef79,Sedan,2016,1,945,3217,90,1900
四川,510000,37aa9169b575ef79,Sedan,2016,1,2222,3402,90,1900
安徽,340000,37aa9169b575ef79,Sedan,2016,1,607,1100,90,1900
山东,370000,37aa9169b575ef79,Sedan,2016,1,4027,5902,90,1900
山西,140000,37aa9169b575ef79,Sedan,2016,1,1234,2265,90,1900
广东,440000,37aa9169b575ef79,Sedan,2016,1,1556,4162,90,1900
广西,450000,37aa9169b575ef79,Sedan,2016,1,493,568,90,1900
江苏,320000,37aa9169b575ef79,Sedan,2016,1,917,2663,90,1900
江西,360000,37aa9169b575ef79,Sedan,2016,1,496,852,90,1900
河北,130000,37aa9169b575ef79,Sedan,2016,1,3740,7103,90,1900
河南,410000,37aa9169b575ef79,Sedan,2016,1,2560,4993,90,1900
浙江,330000,37aa9169b575ef79,Sedan,2016,1,800,2216,90,1900
湖北,420000,37aa9169b575ef79,Sedan,2016,1,841,1449,90,1900
湖南,430000,37aa9169b575ef79,Sedan,2016,1,2251,1420,90,1900
福建,350000,37aa9169b575ef79,Sedan,2016,1,788,1079,90,1900
辽宁,210000,37aa9169b575ef79,Sedan,2016,1,1349,2805,90,1900
重庆,500000,37aa9169b575ef79,Sedan,2016,1,234,582,90,1900
陕西,610000,37aa9169b575ef79,Sedan,2016,1,1113,1981,90,1900
黑龙江,230000,37aa9169b575ef79,Sedan,2016,1,1494,2656,90,1900
上海,310000,63065128401bb3ff,Sedan,2016,1,2375,1432,11,3702
云南,530000,63065128401bb3ff,Sedan,2016,1,1009,1031,11,3702
内蒙古,150000,63065128401bb3ff,Sedan,2016,1,744,768,11,3702
北京,110000,63065128401bb3ff,Sedan,2016,1,1468,1521,11,3702
四川,510000,63065128401bb3ff,Sedan,2016,1,2462,2861,11,3702
安徽,340000,63065128401bb3ff,Sedan,2016,1,3082,2063,11,3702
山东,370000,63065128401bb3ff,Sedan,2016,1,5502,3047,11,3702
山西,140000,63065128401bb3ff,Sedan,2016,1,2073,1100,11,3702
广东,440000,63065128401bb3ff,Sedan,2016,1,2669,3285,11,3702
广西,450000,63065128401bb3ff,Sedan,2016,1,722,623,11,3702
江苏,320000,63065128401bb3ff,Sedan,2016,1,5630,4046,11,3702
江西,360000,63065128401bb3ff,Sedan,2016,1,2694,1100,11,3702
河北,130000,63065128401bb3ff,Sedan,2016,1,4516,2500,11,3702
