province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity,carCommentVolum,newsReplyVolum,salesVolume_model_in_all_adcode,salesVolume_bodyType_in_all_adcode,salesVolume_adcode_in_all_model,salesVolume_bodyType_in_all_model
山西,140000,3d7554f1f56dd664,Sedan,2016,1,387,1425,43,3996,22752.0,387.0,29243.0,16876.0
广东,440000,3d7554f1f56dd664,Sedan,2016,1,8330,9439,43,3996,22752.0,8330.0,114100.0,52262.0
广西,450000,3d7554f1f56dd664,Sedan,2016,1,801,1491,43,3996,22752.0,801.0,29789.0,10335.0
江苏,320000,3d7554f1f56dd664,Sedan,2016,1,1685,4436,43,3996,22752.0,1685.0,92648.0,49873.0
江西,360000,3d7554f1f56dd664,Sedan,2016,1,393,1170,43,3996,22752.0,393.0,34402.0,17345.0
河北,130000,3d7554f1f56dd664,Sedan,2016,1,788,3275,43,3996,22752.0,788.0,70031.0,40918.0
河南,410000,3d7554f1f56dd664,Sedan,2016,1,850,3728,43,3996,22752.0,850.0,87167.0,40989.0
浙江,330000,3d7554f1f56dd664,Sedan,2016,1,1438,4077,43,3996,22752.0,1438.0,72801.0,35893.0
湖北,420000,3d7554f1f56dd664,Sedan,2016,1,762,2086,43,3996,22752.0,762.0,47801.0,20370.0
湖南,430000,3d7554f1f56dd664,Sedan,2016,1,678,1887,43,3996,22752.0,678.0,52488.0,24912.0
福建,350000,3d7554f1f56dd664,Sedan,2016,1,1115,1812,43,3996,22752.0,1115.0,30946.0,15733.0
辽宁,210000,3d7554f1f56dd664,Sedan,2016,1,1304,3398,43,3996,22752.0,1304.0,28977.0,15847.0
重庆,500000,3d7554f1f56dd664,Sedan,2016,1,188,679,43,3996,22752.0,188.0,26342.0,10335.0
陕西,610000,3d7554f1f56dd664,Sedan,2016,1,240,1444,43,3996,22752.0,240.0,33729.0,16156.0
黑龙江,230000,3d7554f1f56dd664,Sedan,2016,1,467,2274,43,3996,22752.0,467.0,18243.0,9051.0
上海,310000,2d0d2c3403909fdb,SUV,2016,1,232,822,59,698,8124.0,232.0,32905.0,11822.0
云南,530000,2d0d2c3403909fdb,SUV,2016,1,297,1017,59,698,8124.0,297.0,30570.0,11308.0
内蒙古,150000,2d0d2c3403909fdb,SUV,2016,1,259,932,59,698,8124.0,259.0,20626.0,8204.0
北京,110000,2d0d2c3403909fdb,SUV,2016,1,805,1337,59,698,8124.0,805.0,38140.0,15517.0
四川,510000,2d0d2c3403909fdb,SUV,2016,1,423,2167,59,698,8124.0,423.0,60207.0,24635.0
安徽,340000,2d0d2c3403909fdb,SUV,2016,1,138,851,59,698,8124.0,138.0,47612.0,18608.0
山东,370000,2d0d2c3403909fdb,SUV,2016,1,337,2019,59,698,8124.0,337.0,92216.0,25908.0
山西,140000,2d0d2c3403909fdb,SUV,2016,1,166,712,59,698,8124.0,166.0,29243.0,8572.0
广东,440000,2d0d2c3403909fdb,SUV,2016,1,1775,3140,59,698,8124.0,1775.0,114100.0,48367.0
广西,450000,2d0d2c3403909fdb,SUV,2016,1,207,527,59,698,8124.0,207.0,29789.0,8721.0
江苏,320000,2d0d2c3403909fdb,SUV,2016,1,463,1790,59,698,8124.0,463.0,92648.0,31399.0
江西,360000,2d0d2c3403909fdb,SUV,2016,1,97,467,59,698,8124.0,97.0,34402.0,12890.0
河北,130000,2d0d2c3403909fdb,SUV,2016,1,326,1780,59,698,8124.0,326.0,70031.0,19669.0
河南,410000,2d0d2c3403909fdb,SUV,2016,1,271,1890,59,698,8124.0,271.0,87167.0,27065.0
浙江,330000,2d0d2c3403909fdb,SUV,2016,1,381,1695,59,698,8124.0,381.0,72801.0,29313.0
湖北,420000,2d0d2c3403909fdb,SUV,2016,1,226,1030,59,698,8124.0,226.0,47801.0,21573.0
湖南,430000,2d0d2c3403909fdb,SUV,2016,1,259,866,59,698,8124.0,259.0,52488.0,21282.0
福建,350000,2d0d2c3403909fdb,SUV,2016,1,137,537,59,698,8124.0,137.0,30946.0,11885.0
辽宁,210000,2d0d2c3403909fdb,SUV,2016,1,543,1281,59,698,8124.0,543.0,28977.0,10156.0
重庆,500000,2d0d2c3403909fdb,SUV,2016,1,172,458,59,698,8124.0,172.0,26342.0,12470.0
陕西,610000,2d0d2c3403909fdb,SUV,2016,1,248,838,59,698,8124.0,248.0,33729.0,12300.0
黑龙江,230000,2d0d2c3403909fdb,SUV,2016,1,362,1158,59,698,8124.0,362.0,18243.0,7238.0
上海,310000,a28bb927b6fcb33c,Sedan,2016,1,243,669,219,117,13248.0,243.0,32905.0,17383.0
云南,530000,a28bb927b6fcb33c,Sedan,2016,1,238,465,219,117,13248.0,238.0,30570.0,10568.0
内蒙古,150000,a28bb927b6fcb33c,Sedan,2016,1,190,552,219,117,13248.0,190.0,20626.0,10965.0
北京,110000,a28bb927b6fcb33c,Sedan,2016,1,335,1026,219,117,13248.0,335.0,38140.0,18054.0
四川,510000,a28bb927b6fcb33c,Sedan,2016,1,528,1753,219,117,13248.0,528.0,60207.0,29400.0
安徽,340000,a28bb927b6fcb33c,Sedan,2016,1,308,735,219,117,13248.0,308.0,47612.0,22886.0
山东,370000,a28bb927b6fcb33c,Sedan,2016,1,424,1635,219,117,13248.0,424.0,92216.0,52336.0
山西,140000,a28bb927b6fcb33c,Sedan,2016,1,182,578,219,117,13248.0,182.0,29243.0,16876.0
广东,440000,a28bb927b6fcb33c,Sedan,2016,1,4260,4350,219,117,13248.0,4260.0,114100.0,52262.0
广西,450000,a28bb927b6fcb33c,Sedan,2016,1,414,617,219,117,13248.0,414.0,29789.0,10335.0
江苏,320000,a28bb927b6fcb33c,Sedan,2016,1,902,2035,219,117,13248.0,902.0,92648.0,49873.0
江西,360000,a28bb927b6fcb33c,Sedan,2016,1,248,491,219,117,13248.0,248.0,34402.0,17345.0
河北,130000,a28bb927b6fcb33c,Sedan,2016,1,409,1540,219,117,13248.0,409.0,70031.0,40918.0
河南,410000,a28bb927b6fcb33c,Sedan,2016,1,455,1535,219,117,13248.0,455.0,87167.0,40989.0
浙江,330000,a28bb927b6fcb33c,Sedan,2016,1,1040,2053,219,117,13248.0,1040.0,72801.0,35893.0
湖北,420000,a28bb927b6fcb33c,Sedan,2016,1,675,1022,219,117,13248.0,675.0,47801.0,20370.0
湖南,430000,a28bb927b6fcb33c,Sedan,2016,1,547,870,219,117,13248.0,547.0,52488.0,24912.0
福建,350000,a28bb927b6fcb33c,Sedan,2016,1,464,717,219,117,13248.0,464.0,30946.0,15733.0
辽宁,210000,a28bb927b6fcb33c,Sedan,2016,1,649,1261,219,117,13248.0,649.0,28977.0,15847.0
重庆,500000,a28bb927b6fcb33c,Sedan,2016,1,187,352,219,117,13248.0,187.0,26342.0,10335.0
陕西,610000,a28bb927b6fcb33c,Sedan,2016,1,259,648,219,117,13248.0,259.0,33729.0,16156.0
黑龙江,230000,a28bb927b6fcb33c,Sedan,2016,1,291,944,219,117,13248.0,291.0,18243.0,9051.0
上海,310000,17bc272c93f19d56,MPV,2016,1,365,3369,0,0,51161.0,365.0,32905.0,2606.0
云南,530000,17bc272c93f19d56,MPV,2016,1,4147,6548,0,0,51161.0,4147.0,30570.0,7823.0
内蒙古,150000,17bc272c93f19d56,MPV,2016,1,567,2074,0,0,51161.0,567.0,20626.0,938.0
北京,110000,17bc272c93f19d56,MPV,2016,1,456,4987,0,0,51161.0,456.0,38140.0,3262.0
四川,510000,17bc272c93f19d56,MPV,2016,1,1772,8433,0,0,51161.0,1772.0,60207.0,4498.0
安徽,340000,17bc272c93f19d56,MPV,2016,1,2289,4473,0,0,51161.0,2289.0,47612.0,4882.0
山东,370000,17bc272c93f19d56,MPV,2016,1,5481,11802,0,0,51161.0,5481.0,92216.0,11092.0
山西,140000,17bc272c93f19d56,MPV,2016,1,2166,5520,0,0,51161.0,2166.0,29243.0,3240.0
广东,440000,17bc272c93f19d56,MPV,2016,1,2118,14106,0,0,51161.0,2118.0,114100.0,11650.0
广西,450000,17bc272c93f19d56,MPV,2016,1,4779,5444,0,0,51161.0,4779.0,29789.0,10025.0
江苏,320000,17bc272c93f19d56,MPV,2016,1,2358,9156,0,0,51161.0,2358.0,92648.0,7098.0
江西,360000,17bc272c93f19d56,MPV,2016,1,1882,3102,0,0,51161.0,1882.0,34402.0,3258.0
河北,130000,17bc272c93f19d56,MPV,2016,1,4112,10812,0,0,51161.0,4112.0,70031.0,7019.0
河南,410000,17bc272c93f19d56,MPV,2016,1,7051,19036,0,0,51161.0,7051.0,87167.0,16907.0
浙江,330000,17bc272c93f19d56,MPV,2016,1,1411,7690,0,0,51161.0,1411.0,72801.0,4829.0
湖北,420000,17bc272c93f19d56,MPV,2016,1,1923,4759,0,0,51161.0,1923.0,47801.0,4704.0
湖南,430000,17bc272c93f19d56,MPV,2016,1,2637,5196,0,0,51161.0,2637.0,52488.0,5153.0
福建,350000,17bc272c93f19d56,MPV,2016,1,670,2703,0,0,51161.0,670.0,30946.0,1969.0
辽宁,210000,17bc272c93f19d56,MPV,2016,1,1203,3388,0,0,51161.0,1203.0,28977.0,2245.0
重庆,500000,17bc272c93f19d56,MPV,2016,1,370,1541,0,0,51161.0,370.0,26342.0,2997.0
陕西,610000,17bc272c93f19d56,MPV,2016,1,2683,5882,0,0,51161.0,2683.0,33729.0,4308.0
黑龙江,230000,17bc272c93f19d56,MPV,2016,1,721,2569,0,0,51161.0,721.0,18243.0,1484.0
上海,310000,2a2ab41f8f6ff1cb,SUV,2016,1,431,1320,29,3278,28906.0,431.0,32905.0,11822.0
云南,530000,2a2ab41f8f6ff1cb,SUV,2016,1,248,755,29,3278,28906.0,248.0,30570.0,11308.0
内蒙古,150000,2a2ab41f8f6ff1cb,SUV,2016,1,939,1243,29,3278,28906.0,939.0,20626.0,8204.0
北京,110000,2a2ab41f8f6ff1cb,SUV,2016,1,458,1904,29,3278,28906.0,458.0,38140.0,15517.0
四川,510000,2a2ab41f8f6ff1cb,SUV,2016,1,1221,3683,29,3278,28906.0,1221.0,60207.0,24635.0
安徽,340000,2a2ab41f8f6ff1cb,SUV,2016,1,1440,1999,29,3278,28906.0,1440.0,47612.0,18608.0
山东,370000,2a2ab41f8f6ff1cb,SUV,2016,1,1657,4276,29,3278,28906.0,1657.0,92216.0,25908.0
山西,140000,2a2ab41f8f6ff1cb,SUV,2016,1,639,1454,29,3278,28906.0,639.0,29243.0,8572.0
广东,440000,2a2ab41f8f6ff1cb,SUV,2016,1,6442,9568,29,3278,28906.0,6442.0,114100.0,48367.0
广西,450000,2a2ab41f8f6ff1cb,SUV,2016,1,719,1119,29,3278,28906.0,719.0,29789.0,8721.0
江苏,320000,2a2ab41f8f6ff1cb,SUV,2016,1,2063,4257,29,3278,28906.0,2063.0,92648.0,31399.0
江西,360000,2a2ab41f8f6ff1cb,SUV,2016,1,1070,1387,29,3278,28906.0,1070.0,34402.0,12890.0
河北,130000,2a2ab41f8f6ff1cb,SUV,2016,1,1775,4276,29,3278,28906.0,1775.0,70031.0,19669.0
河南,410000,2a2ab41f8f6ff1cb,SUV,2016,1,2481,5788,29,3278,28906.0,2481.0,87167.0,27065.0
浙江,330000,2a2ab41f8f6ff1cb,SUV,2016,1,1156,2659,29,3278,28906.0,1156.0,72801.0,29313.0
湖北,420000,2a2ab41f8f6ff1cb,SUV,2016,1,1769,2506,29,3278,28906.0,1769.0,47801.0,21573.0
湖南,430000,2a2ab41f8f6ff1cb,SUV,2016,1,1843,2392,29,3278,28906.0,1843.0,52488.0,21282.0
福建,350000,2a2ab41f8f6ff1cb,SUV,2016,1,356,956,29,3278,28906.0,356.0,30946.0,11885.0
辽宁,210000,2a2ab41f8f6ff1cb,SUV,2016,1,299,755,29,3278,28906.0,299.0,28977.0,10156.0
重庆,500000,2a2ab41f8f6ff1cb,SUV,2016,1,771,1291,29,3278,28906.0,771.0,26342.0,12470.0
陕西,610000,2a2ab41f8f6ff1cb,SUV,2016,1,524,1320,29,3278,28906.0,524.0,33729.0,12300.0
黑龙江,230000,2a2ab41f8f6ff1cb,SUV,2016,1,605,1100,29,3278,28906.0,605.0,18243.0,7238.0
上海,310000,c06a2a387c0ee510,MPV,2016,1,1178,1117,2,1508,6757.0,1178.0,32905.0,2606.0
云南,530000,c06a2a387c0ee510,MPV,2016,1,77,418,2,1508,6757.0,77.0,30570.0,7823.0
内蒙古,150000,c06a2a387c0ee510,MPV,2016,1,67,381,2,1508,6757.0,67.0,20626.0,938.0
北京,110000,c06a2a387c0ee510,MPV,2016,1,1071,1524,2,1508,6757.0,1071.0,38140.0,3262.0
四川,510000,c06a2a387c0ee510,MPV,2016,1,156,1133,2,1508,6757.0,156.0,60207.0,4498.0
安徽,340000,c06a2a387c0ee510,MPV,2016,1,149,502,2,1508,6757.0,149.0,47612.0,4882.0
山东,370000,c06a2a387c0ee510,MPV,2016,1,635,1953,2,1508,6757.0,635.0,92216.0,11092.0
山西,140000,c06a2a387c0ee510,MPV,2016,1,133,589,2,1508,6757.0,133.0,29243.0,3240.0
广东,440000,c06a2a387c0ee510,MPV,2016,1,585,1985,2,1508,6757.0,585.0,114100.0,11650.0
广西,450000,c06a2a387c0ee510,MPV,2016,1,58,299,2,1508,6757.0,58.0,29789.0,10025.0
江苏,320000,c06a2a387c0ee510,MPV,2016,1,739,1647,2,1508,6757.0,739.0,92648.0,7098.0
江西,360000,c06a2a387c0ee510,MPV,2016,1,91,305,2,1508,6757.0,91.0,34402.0,3258.0
河北,130000,c06a2a387c0ee510,MPV,2016,1,250,1286,2,1508,6757.0,250.0,70031.0,7019.0
河南,410000,c06a2a387c0ee510,MPV,2016,1,383,1713,2,1508,6757.0,383.0,87167.0,16907.0
浙江,330000,c06a2a387c0ee510,MPV,2016,1,395,1209,2,1508,6757.0,395.0,72801.0,4829.0
湖北,420000,c06a2a387c0ee510,MPV,2016,1,109,528,2,1508,6757.0,109.0,47801.0,4704.0
湖南,430000,c06a2a387c0ee510,MPV,2016,1,80,416,2,1508,6757.0,80.0,52488.0,5153.0
福建,350000,c06a2a387c0ee510,MPV,2016,1,77,410,2,1508,6757.0,77.0,30946.0,1969.0
辽宁,210000,c06a2a387c0ee510,MPV,2016,1,160,669,2,1508,6757.0,160.0,28977.0,2245.0
重庆,500000,c06a2a387c0ee510,MPV,2016,1,81,299,2,1508,6757.0,81.0,26342.0,2997.0
陕西,610000,c06a2a387c0ee510,MPV,2016,1,175,607,2,1508,6757.0,175.0,33729.0,4308.0
黑龙江,230000,c06a2a387c0ee510,MPV,2016,1,108,575,2,1508,6757.0,108.0,18243.0,1484.0
上海,310000,7023efdab9cedc03,Sedan,2016,1,992,2658,12,54,10831.0,992.0,32905.0,17383.0
云南,530000,7023efdab9cedc03,Sedan,2016,1,191,994,12,54,10831.0,191.0,30570.0,10568.0
内蒙古,150000,7023efdab9cedc03,Sedan,2016,1,102,973,12,54,10831.0,102.0,20626.0,10965.0
北京,110000,7023efdab9cedc03,Sedan,2016,1,210,2354,12,54,10831.0,210.0,38140.0,18054.0
四川,510000,7023efdab9cedc03,Sedan,2016,1,429,3507,12,54,10831.0,429.0,60207.0,29400.0
安徽,340000,7023efdab9cedc03,Sedan,2016,1,762,2472,12,54,10831.0,762.0,47612.0,22886.0
山东,370000,7023efdab9cedc03,Sedan,2016,1,898,4806,12,54,10831.0,898.0,92216.0,52336.0
山西,140000,7023efdab9cedc03,Sedan,2016,1,114,1180,12,54,10831.0,114.0,29243.0,16876.0
广东,440000,7023efdab9cedc03,Sedan,2016,1,609,4122,12,54,10831.0,609.0,114100.0,52262.0
广西,450000,7023efdab9cedc03,Sedan,2016,1,170,904,12,54,10831.0,170.0,29789.0,10335.0
江苏,320000,7023efdab9cedc03,Sedan,2016,1,1906,6905,12,54,10831.0,1906.0,92648.0,49873.0
江西,360000,7023efdab9cedc03,Sedan,2016,1,344,1457,12,54,10831.0,344.0,34402.0,17345.0
河北,130000,7023efdab9cedc03,Sedan,2016,1,279,2831,12,54,10831.0,279.0,70031.0,40918.0
河南,410000,7023efdab9cedc03,Sedan,2016,1,558,4025,12,54,10831.0,558.0,87167.0,40989.0
浙江,330000,7023efdab9cedc03,Sedan,2016,1,1566,4992,12,54,10831.0,1566.0,72801.0,35893.0
湖北,420000,7023efdab9cedc03,Sedan,2016,1,453,2071,12,54,10831.0,453.0,47801.0,20370.0
湖南,430000,7023efdab9cedc03,Sedan,2016,1,459,1836,12,54,10831.0,459.0,52488.0,24912.0
福建,350000,7023efdab9cedc03,Sedan,2016,1,237,1242,12,54,10831.0,237.0,30946.0,15733.0
辽宁,210000,7023efdab9cedc03,Sedan,2016,1,158,1249,12,54,10831.0,158.0,28977.0,15847.0
重庆,500000,7023efdab9cedc03,Sedan,2016,1,81,690,12,54,10831.0,81.0,26342.0,10335.0
陕西,610000,7023efdab9cedc03,Sedan,2016,1,275,1608,12,54,10831.0,275.0,33729.0,16156.0
黑龙江,230000,7023efdab9cedc03,Sedan,2016,1,38,1015,12,54,10831.0,38.0,18243.0,9051.0
上海,310000,af6f4f548684e14d,SUV,2016,1,1572,3615,152,3963,25514.0,1572.0,32905.0,11822.0
云南,530000,af6f4f548684e14d,SUV,2016,1,612,1296,152,3963,25514.0,612.0,30570.0,11308.0
内蒙古,150000,af6f4f548684e14d,SUV,2016,1,463,1120,152,3963,25514.0,463.0,20626.0,8204.0
北京,110000,af6f4f548684e14d,SUV,2016,1,895,3499,152,3963,25514.0,895.0,38140.0,15517.0
四川,510000,af6f4f548684e14d,SUV,2016,1,1417,4444,152,3963,25514.0,1417.0,60207.0,24635.0
安徽,340000,af6f4f548684e14d,SUV,2016,1,1219,2230,152,3963,25514.0,1219.0,47612.0,18608.0
山东,370000,af6f4f548684e14d,SUV,2016,1,2241,5494,152,3963,25514.0,2241.0,92216.0,25908.0
山西,140000,af6f4f548684e14d,SUV,2016,1,677,1686,152,3963,25514.0,677.0,29243.0,8572.0
广东,440000,af6f4f548684e14d,SUV,2016,1,2250,5197,152,3963,25514.0,2250.0,114100.0,48367.0
广西,450000,af6f4f548684e14d,SUV,2016,1,594,1054,152,3963,25514.0,594.0,29789.0,8721.0
江苏,320000,af6f4f548684e14d,SUV,2016,1,2192,5279,152,3963,25514.0,2192.0,92648.0,31399.0
江西,360000,af6f4f548684e14d,SUV,2016,1,1062,1609,152,3963,25514.0,1062.0,34402.0,12890.0
河北,130000,af6f4f548684e14d,SUV,2016,1,1028,3296,152,3963,25514.0,1028.0,70031.0,19669.0
河南,410000,af6f4f548684e14d,SUV,2016,1,1627,4697,152,3963,25514.0,1627.0,87167.0,27065.0
浙江,330000,af6f4f548684e14d,SUV,2016,1,1657,4054,152,3963,25514.0,1657.0,72801.0,29313.0
湖北,420000,af6f4f548684e14d,SUV,2016,1,1510,3170,152,3963,25514.0,1510.0,47801.0,21573.0
湖南,430000,af6f4f548684e14d,SUV,2016,1,1650,2730,152,3963,25514.0,1650.0,52488.0,21282.0
福建,350000,af6f4f548684e14d,SUV,2016,1,850,1686,152,3963,25514.0,850.0,30946.0,11885.0
辽宁,210000,af6f4f548684e14d,SUV,2016,1,446,1263,152,3963,25514.0,446.0,28977.0,10156.0
重庆,500000,af6f4f548684e14d,SUV,2016,1,540,1302,152,3963,25514.0,540.0,26342.0,12470.0
陕西,610000,af6f4f548684e14d,SUV,2016,1,746,1703,152,3963,25514.0,746.0,33729.0,12300.0
黑龙江,230000,af6f4f548684e14d,SUV,2016,1,266,1082,152,3963,25514.0,266.0,18243.0,7238.0
上海,310000,7cf283430b3b5e38,Sedan,2016,1,1709,3212,270,3705,34154.0,1709.0,32905.0,17383.0
云南,530000,7cf283430b3b5e38,Sedan,2016,1,390,1076,270,3705,34154.0,390.0,30570.0,10568.0
内蒙古,150000,7cf283430b3b5e38,Sedan,2016,1,558,1156,270,3705,34154.0,558.0,20626.0,10965.0
北京,110000,7cf283430b3b5e38,Sedan,2016,1,334,2656,270,3705,34154.0,334.0,38140.0,18054.0
四川,510000,7cf283430b3b5e38,Sedan,2016,1,1710,4395,270,3705,34154.0,1710.0,60207.0,29400.0
安徽,340000,7cf283430b3b5e38,Sedan,2016,1,2375,3459,270,3705,34154.0,2375.0,47612.0,22886.0
山东,370000,7cf283430b3b5e38,Sedan,2016,1,3723,7475,270,3705,34154.0,3723.0,92216.0,52336.0
山西,140000,7cf283430b3b5e38,Sedan,2016,1,646,1738,270,3705,34154.0,646.0,29243.0,16876.0
广东,440000,7cf283430b3b5e38,Sedan,2016,1,1777,4986,270,3705,34154.0,1777.0,114100.0,52262.0
广西,450000,7cf283430b3b5e38,Sedan,2016,1,677,1147,270,3705,34154.0,677.0,29789.0,10335.0
江苏,320000,7cf283430b3b5e38,Sedan,2016,1,4998,8826,270,3705,34154.0,4998.0,92648.0,49873.0
江西,360000,7cf283430b3b5e38,Sedan,2016,1,1261,1994,270,3705,34154.0,1261.0,34402.0,17345.0
河北,130000,7cf283430b3b5e38,Sedan,2016,1,1931,4492,270,3705,34154.0,1931.0,70031.0,40918.0
河南,410000,7cf283430b3b5e38,Sedan,2016,1,2603,6037,270,3705,34154.0,2603.0,87167.0,40989.0
浙江,330000,7cf283430b3b5e38,Sedan,2016,1,3101,5807,270,3705,34154.0,3101.0,72801.0,35893.0
湖北,420000,7cf283430b3b5e38,Sedan,2016,1,1782,2780,270,3705,34154.0,1782.0,47801.0,20370.0
湖南,430000,7cf283430b3b5e38,Sedan,2016,1,1687,2453,270,3705,34154.0,1687.0,52488.0,24912.0
福建,350000,7cf283430b3b5e38,Sedan,2016,1,893,1588,270,3705,34154.0,893.0,30946.0,15733.0
辽宁,210000,7cf283430b3b5e38,Sedan,2016,1,589,1526,270,3705,34154.0,589.0,28977.0,15847.0
重庆,500000,7cf283430b3b5e38,Sedan,2016,1,370,856,270,3705,34154.0,370.0,26342.0,10335.0
陕西,610000,7cf283430b3b5e38,Sedan,2016,1,741,1985,270,3705,34154.0,741.0,33729.0,16156.0
黑龙江,230000,7cf283430b3b5e38,Sedan,2016,1,299,1103,270,3705,34154.0,299.0,18243.0,9051.0
上海,310000,d4efbebb087fd03f,Sedan,2016,1,204,5993,17,2313,18565.0,204.0,32905.0,17383.0
云南,530000,d4efbebb087fd03f,Sedan,2016,1,184,2144,17,2313,18565.0,184.0,30570.0,10568.0
内蒙古,150000,d4efbebb087fd03f,Sedan,2016,1,389,3679,17,2313,18565.0,389.0,20626.0,10965.0
北京,110000,d4efbebb087fd03f,Sedan,2016,1,207,12937,17,2313,18565.0,207.0,38140.0,18054.0
四川,510000,d4efbebb087fd03f,Sedan,2016,1,955,7869,17,2313,18565.0,955.0,60207.0,29400.0
安徽,340000,d4efbebb087fd03f,Sedan,2016,1,792,7626,17,2313,18565.0,792.0,47612.0,22886.0
山东,370000,d4efbebb087fd03f,Sedan,2016,1,1924,12840,17,2313,18565.0,1924.0,92216.0,52336.0
山西,140000,d4efbebb087fd03f,Sedan,2016,1,452,4653,17,2313,18565.0,452.0,29243.0,16876.0
广东,440000,d4efbebb087fd03f,Sedan,2016,1,1224,24365,17,2313,18565.0,1224.0,114100.0,52262.0
广西,450000,d4efbebb087fd03f,Sedan,2016,1,498,3508,17,2313,18565.0,498.0,29789.0,10335.0
江苏,320000,d4efbebb087fd03f,Sedan,2016,1,1062,15837,17,2313,18565.0,1062.0,92648.0,49873.0
江西,360000,d4efbebb087fd03f,Sedan,2016,1,1049,4410,17,2313,18565.0,1049.0,34402.0,17345.0
河北,130000,d4efbebb087fd03f,Sedan,2016,1,919,9843,17,2313,18565.0,919.0,70031.0,40918.0
河南,410000,d4efbebb087fd03f,Sedan,2016,1,2130,19955,17,2313,18565.0,2130.0,87167.0,40989.0
浙江,330000,d4efbebb087fd03f,Sedan,2016,1,1779,15301,17,2313,18565.0,1779.0,72801.0,35893.0
湖北,420000,d4efbebb087fd03f,Sedan,2016,1,890,6066,17,2313,18565.0,890.0,47801.0,20370.0
湖南,430000,d4efbebb087fd03f,Sedan,2016,1,1524,5043,17,2313,18565.0,1524.0,52488.0,24912.0
福建,350000,d4efbebb087fd03f,Sedan,2016,1,671,6383,17,2313,18565.0,671.0,30946.0,15733.0
辽宁,210000,d4efbebb087fd03f,Sedan,2016,1,214,7845,17,2313,18565.0,214.0,28977.0,15847.0
重庆,500000,d4efbebb087fd03f,Sedan,2016,1,378,2607,17,2313,18565.0,378.0,26342.0,10335.0
